No,Isolate_ID,Project,Microbe_group,Project_sample_ID,Isolation_date,Isolation_farm,Isolation_source,Isolation_source_specific,Isolation_farm_irrigation,Isolation_media_original,Total_resistance_X.7,Total_tolerant_X.7,Multidrug_Resistant,Multidrug_tolerant,DNA_extraxtion_date,Qubit_DNA_conc,Library.Prep.Date,Primer.Plate,Well,Primer.Set
35,UF-100,Urban Farm,Bacteria,BS-6,6/26/2023,F2,Bulk Soil,Bulk Soil,well,TSA+Tet,3,4,yes,yes,4/26/2024,29,6/25/2024,A,E02,A-E02
36,UF-101,Urban Farm,Bacteria,BS-12,6/26/2023,F3,Bulk Soil,Bulk Soil,pond,TSA+Tet,2,7,no,yes,4/26/2024,78.1,6/26/2024,B,D02,B-D02
37,UF-125,Urban Farm,Bacteria,P-38,7/6/2023,F4,Leafy Green,Kale,well,TSA+Amp,3,4,yes,yes,5/15/2024,10.3,6/25/2024,A,F02,A-F02
49,UF-148,Urban Farm,Bacteria,P-47,7/6/2023,F4,Leafy Green,Lettuce,well,TSA+Amp,1,3,no,yes,5/16/2024,45.3,6/25/2024,A,C03,A-C03
19,UF-15,Urban Farm,Bacteria,RZ-12,6/16/2023,F1,Root Zone Soil,Lettuce (Muir),city,TSA+Amp,3,5,yes,yes,5/15/2024,45.3,6/25/2024,A,B01,A-B01
56,UF-166,Urban Farm,Bacteria,RZ-38,7/6/2023,F4,Root Zone Soil,Kale,well,TSA+Tet,3,5,yes,yes,4/26/2024,46.1,6/25/2024,A,G03,A-G03
57,UF-167,Urban Farm,Bacteria,RZ-43,7/6/2023,F4,Root Zone Soil,Chard (Bright Lights),well,TSA+Tet,2,4,no,yes,4/26/2024,17.2,6/25/2024,A,H03,A-H03
58,UF-170,Urban Farm,Bacteria,RZ-42,7/6/2023,F4,Root Zone Soil,Chard (Bright Lights),well,TSA+Tet,3,5,yes,yes,4/29/2024,19.4,6/25/2024,A,A04,A-A04
59,UF-173,Urban Farm,Bacteria,P-47,7/6/2023,F4,Leafy Green,Lettuce,well,TSA+Tet,1,3,no,yes,4/29/2024,53.4,6/26/2024,B,E03,B-E03
60,UF-174,Urban Farm,Bacteria,P-43,7/6/2023,F4,Leafy Green,Chard (Bright Lights),well,TSA+Tet,3,5,yes,yes,4/29/2024,24,6/25/2024,A,B04,A-B04
