No,Isolate_ID,Project,Microbe_group,Taxa_identifier,Project_sample_ID,Isolation_date,Isolation_farm,Isolation_source,Isolation_source_specific,Isolation_farm_irrigation,Isolation_media_original,Isolate_morph_size,Isolate_morph_color,Isolate_morph_other,Total_resistance_X.7,Total_tolerant_X.7,Multidrug_Resistant,Multidrug_tolerant,Amp_TR,Azith_TR,Cip_TR,Chlor_TR,Cef_TR,Gen_TR,Tet_TR,DNA_extraxtion_date,Qubit_DNA_conc,Library.Prep.Date,Primer.Plate,Well,Primer.Set
1,UF-6,Urban Farm,Bacteria,Unknown,RZ-12,6/16/2023,Eco-City Bladensburg,Amended soil,Plot-Lettuce (Muir),city,TSA+Amp,S,Y,"Circ, Raised",1,4,no,yes,1,1,1,1,0,0,0,5/15/2024,42.4,6/25/2024,A,A01,A-A01
2,UF-15,Urban Farm,Bacteria,Unknown,RZ-12,6/16/2023,Eco-City Bladensburg,Amended soil,Plot-Lettuce (Muir),city,TSA+Amp,S,Y,"Circ, Raised",3,5,yes,yes,1,1,1,1,0,0,1,5/15/2024,45.3,6/25/2024,A,B01,A-B01
5,UF-74,Urban Farm,Bacteria,Unknown,RZ-18,6/26/2023,Urban Farm Incubator,Amended soil,Plot-Kale (Starbor),well,TSA+Amp,M,OW,"Circ, Convex",2,4,no,yes,1,1,0,1,1,0,0,5/15/2024,13,6/25/2024,A,D01,A-D01
7,UF-76,Urban Farm,Bacteria,Unknown,RZ-23,6/26/2023,Urban Farm Incubator,Amended soil,Plot-Kale (Lacinato),well,TSA+Amp,PP,OW,"Circ, Convex",2,3,no,yes,1,0,1,0,1,0,0,5/15/2024,7.61,6/26/2024,B,A01,B-A01
8,UF-77,Urban Farm,Bacteria,Unknown,RZ-21,6/26/2023,Urban Farm Incubator,Amended soil,Plot-Kale (Lacinato),well,TSA+Amp,T,P,"Circ, Flat",2,4,no,yes,1,1,0,1,1,0,0,5/15/2024,43.1,6/25/2024,A,F01,A-F01
9,UF-78,Urban Farm,Bacteria,Unknown,RZ-29,6/26/2023,Urban Farm Incubator,Amended soil,Plot-Kale (Siberian),well,TSA+Amp,T,LP,"Circ, Flat",4,4,yes,yes,1,1,0,1,1,0,0,5/15/2024,59,6/26/2024,B,B02,B-B02
10,UF-81,Urban Farm,Bacteria,Unknown,BS-13,6/26/2023,Terp Farm,Bulk_soil,Bulk_soil,pond,TSA+Amp,S,Y,"Circ, Convex",2,3,no,yes,1,0,1,0,1,0,0,5/15/2024,31,6/25/2024,A,G01,A-G01
11,UF-84,Urban Farm,Bacteria,Unknown,P-16,6/26/2023,Urban Farm Incubator,Leafy green,Kale (Starbor),well,TSA+Amp,PP,P,Circ,3,3,yes,yes,1,1,0,0,1,0,0,5/15/2024,22.7,6/25/2024,A,H01,A-H01
12,UF-86,Urban Farm,Bacteria,Unknown,P-24,6/26/2023,Urban Farm Incubator,Leafy green,Kale (Lacinato),well,TSA+Amp,S,OW,"Circ, Flat",3,4,yes,yes,1,1,0,1,1,0,0,5/15/2024,17.6,6/25/2024,A,A02,A-A02
13,UF-89,Urban Farm,Bacteria,Unknown,P-34,6/26/2023,Terp Farm,Leafy green,Cabbage (Napa),pond,TSA+Amp,S,W,"Circ, Convex",3,4,yes,yes,1,1,0,1,1,0,0,5/15/2024,12.2,6/25/2024,A,B02,A-B02
14,UF-94,Urban Farm,Bacteria,Unknown,RZ-30,6/26/2023,Urban Farm Incubator,Amended soil,Plot-Kale (Siberian),well,TSA+Tet,M,W,"Circ, Flat",3,3,yes,yes,1,0,0,0,1,0,1,4/24/2024,46.4,6/25/2024,A,C02,A-C02
15,UF-95,Urban Farm,Bacteria,Unknown,RZ-28,6/26/2023,Urban Farm Incubator,Amended soil,Plot-Kale (Siberian),well,TSA+Tet,PP,OW,"Circ, Convex",1,5,no,yes,1,0,1,0,1,1,1,4/24/2024,61.7,6/26/2024,B,C02,B-C02
16,UF-97,Urban Farm,Bacteria,Unknown,RZ-31,6/26/2023,Terp Farm,Amended soil,Plot-Cabbage (Napa),pond,TSA+Tet,S,W,"Circ, Convex",0,5,no,yes,1,1,0,1,1,0,1,4/26/2024,118,6/26/2024,B,A06,B-A06
18,UF-100,Urban Farm,Bacteria,Unknown,BS-6,6/26/2023,Urban Farm Incubator,Bulk_soil,Bulk_soil,well,TSA+Tet,S,W,"Circ, Flat",3,4,yes,yes,1,0,1,0,1,0,1,4/26/2024,29,6/25/2024,A,E02,A-E02
19,UF-101,Urban Farm,Bacteria,Unknown,BS-12,6/26/2023,Terp Farm,Bulk_soil,Bulk_soil,pond,TSA+Tet,PP,W,Circ,2,7,no,yes,1,1,1,1,1,1,1,4/26/2024,78.1,6/26/2024,B,D02,B-D02
20,UF-125,Urban Farm,Bacteria,Unknown,P-38,7/6/2023,Common Root Farm,Leafy green,Kale,well,TSA+Amp,M,OW,Circ. Convex,3,4,yes,yes,1,1,0,1,1,0,0,5/15/2024,10.3,6/25/2024,A,F02,A-F02
32,UF-148,Urban Farm,Bacteria,Unknown,P-47,7/6/2023,Common Root Farm,Leafy green,Lettuce,well,TSA+Amp,S,W,Circ. Convex,1,3,no,yes,1,1,0,0,1,0,0,5/16/2024,45.3,6/25/2024,A,C03,A-C03
39,UF-166,Urban Farm,Bacteria,Unknown,RZ-38,7/6/2023,Common Root Farm,Amended soil,Plot-Kale,well,TSA+Tet,S,W,Circ. Convex,3,5,yes,yes,1,1,0,1,1,0,1,4/26/2024,46.1,6/25/2024,A,G03,A-G03
40,UF-167,Urban Farm,Bacteria,Unknown,RZ-43,7/6/2023,Common Root Farm,Amended soil,Plot-Chard (Bright Lights),well,TSA+Tet,M,Y,Circ. Convex,2,4,no,yes,1,1,0,0,1,0,1,4/26/2024,17.2,6/25/2024,A,H03,A-H03
41,UF-170,Urban Farm,Bacteria,Unknown,RZ-42,7/6/2023,Common Root Farm,Amended soil,Plot-Chard (Bright Lights),well,TSA+Tet,L,OW,Irreg. Transluscent,3,5,yes,yes,1,1,0,1,1,0,1,4/29/2024,19.4,6/25/2024,A,A04,A-A04
42,UF-173,Urban Farm,Bacteria,Unknown,P-47,7/6/2023,Common Root Farm,Leafy green,Lettuce,well,TSA+Tet,S,W,Circ. Convex,1,3,no,yes,1,1,0,0,0,0,1,4/29/2024,53.4,6/26/2024,B,E03,B-E03
43,UF-174,Urban Farm,Bacteria,Unknown,P-43,7/6/2023,Common Root Farm,Leafy green,Chard (Bright Lights),well,TSA+Tet,M,OW,Circ. Convex,3,5,yes,yes,1,1,1,1,0,0,1,4/29/2024,24,6/25/2024,A,B04,A-B04
44,UF-175,Urban Farm,Bacteria,Unknown,P-46,7/6/2023,Common Root Farm,Leafy green,Lettuce,well,TSA+Tet,S,OW,Ovular,1,5,no,yes,1,1,1,1,0,0,1,4/29/2024,106,6/26/2024,B,C06,B-C06
45,UF-176,Urban Farm,Bacteria,Unknown,RZ-40,7/6/2023,Common Root Farm,Amended soil,Plot-Kale,well,TSA+Tet,S,Y,Circ. Transluscent,0,6,no,yes,1,1,1,1,1,0,1,4/29/2024,9.77,6/26/2024,B,C01,B-C01
46,UF-177,Urban Farm,Bacteria,Unknown,RZ-47,7/6/2023,Common Root Farm,Amended soil,Plot-Lettuce,well,TSA+Tet,PP,OW,Circ.,0,3,no,yes,1,1,0,0,0,0,1,4/29/2024,90.7,6/26/2024,B,F03,B-F03
47,UF-178,Urban Farm,Bacteria,Unknown,P-38,7/6/2023,Common Root Farm,Leafy green,Kale,well,TSA+Tet,M,OW,Circ. Convex,3,5,yes,yes,1,1,1,1,0,0,1,4/29/2024,17.4,6/25/2024,A,C04,A-C04
